
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-0.0665283μm	74.4579μm	1057.42μm

theta = -0.104279	 SumSqErr = 823.683
theta = -0.104179	 SumSqErr = 822.11
theta = -0.104079	 SumSqErr = 820.539
theta = -0.103979	 SumSqErr = 818.968
theta = -0.103879	 SumSqErr = 817.401
theta = -0.103779	 SumSqErr = 815.832
theta = -0.103679	 SumSqErr = 814.267
theta = -0.103579	 SumSqErr = 812.702
theta = -0.103479	 SumSqErr = 811.14
theta = -0.103379	 SumSqErr = 809.579
theta = -0.103279	 SumSqErr = 808.018
theta = -0.103179	 SumSqErr = 806.461
theta = -0.103079	 SumSqErr = 804.904
theta = -0.102979	 SumSqErr = 803.349
theta = -0.102879	 SumSqErr = 801.795
theta = -0.102779	 SumSqErr = 800.243
theta = -0.102679	 SumSqErr = 798.693
theta = -0.102579	 SumSqErr = 797.144
theta = -0.102479	 SumSqErr = 795.596
theta = -0.102379	 SumSqErr = 794.049
theta = -0.102279	 SumSqErr = 792.504
theta = -0.102179	 SumSqErr = 790.962
theta = -0.102079	 SumSqErr = 789.419
theta = -0.101979	 SumSqErr = 787.879
theta = -0.101879	 SumSqErr = 786.341
theta = -0.101779	 SumSqErr = 784.803
theta = -0.101679	 SumSqErr = 783.267
theta = -0.101579	 SumSqErr = 781.734
theta = -0.101479	 SumSqErr = 780.201
theta = -0.101379	 SumSqErr = 778.67
theta = -0.101279	 SumSqErr = 777.141
theta = -0.101179	 SumSqErr = 775.612
theta = -0.101079	 SumSqErr = 774.084
theta = -0.100979	 SumSqErr = 772.56
theta = -0.100879	 SumSqErr = 771.036
theta = -0.100779	 SumSqErr = 769.514
theta = -0.100679	 SumSqErr = 767.993
theta = -0.100579	 SumSqErr = 766.474
theta = -0.100479	 SumSqErr = 764.956
theta = -0.100379	 SumSqErr = 763.44
theta = -0.100279	 SumSqErr = 761.926
theta = -0.100179	 SumSqErr = 760.413
theta = -0.100079	 SumSqErr = 758.901
theta = -0.0999787	 SumSqErr = 757.391
theta = -0.0998787	 SumSqErr = 755.881
theta = -0.0997787	 SumSqErr = 754.375
theta = -0.0996787	 SumSqErr = 752.869
theta = -0.0995787	 SumSqErr = 751.365
theta = -0.0994787	 SumSqErr = 749.862
theta = -0.0993787	 SumSqErr = 748.361
theta = -0.0992787	 SumSqErr = 746.862
theta = -0.0991787	 SumSqErr = 745.364
theta = -0.0990787	 SumSqErr = 743.866
theta = -0.0989787	 SumSqErr = 742.371
theta = -0.0988787	 SumSqErr = 740.878
theta = -0.0987787	 SumSqErr = 739.385
theta = -0.0986786	 SumSqErr = 737.895
theta = -0.0985786	 SumSqErr = 736.406
theta = -0.0984786	 SumSqErr = 734.917
theta = -0.0983786	 SumSqErr = 733.432
theta = -0.0982786	 SumSqErr = 731.948
theta = -0.0981786	 SumSqErr = 730.463
theta = -0.0980786	 SumSqErr = 728.982
theta = -0.0979786	 SumSqErr = 727.502
theta = -0.0978786	 SumSqErr = 726.024
theta = -0.0977786	 SumSqErr = 724.547
theta = -0.0976786	 SumSqErr = 723.071
theta = -0.0975786	 SumSqErr = 721.596
theta = -0.0974786	 SumSqErr = 720.123
theta = -0.0973786	 SumSqErr = 718.653
theta = -0.0972786	 SumSqErr = 717.184
theta = -0.0971786	 SumSqErr = 715.715
theta = -0.0970786	 SumSqErr = 714.248
