
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-272.581μm	11.1182μm	81.593μm


theta = -0.108779	 SumSqErr = 892.067

theta = -0.108679	 SumSqErr = 890.431

theta = -0.108579	 SumSqErr = 888.795

theta = -0.108479	 SumSqErr = 887.161

theta = -0.108379	 SumSqErr = 885.529

theta = -0.108279	 SumSqErr = 883.899

theta = -0.108179	 SumSqErr = 882.266

theta = -0.108079	 SumSqErr = 880.641

theta = -0.107979	 SumSqErr = 879.014

theta = -0.107879	 SumSqErr = 877.391

theta = -0.107779	 SumSqErr = 875.765

theta = -0.107679	 SumSqErr = 874.144

theta = -0.107579	 SumSqErr = 872.523

theta = -0.107479	 SumSqErr = 870.906

theta = -0.107379	 SumSqErr = 869.287

theta = -0.107279	 SumSqErr = 867.672

theta = -0.107179	 SumSqErr = 866.056

theta = -0.107079	 SumSqErr = 864.442

theta = -0.106979	 SumSqErr = 862.834

theta = -0.106879	 SumSqErr = 861.223

theta = -0.106779	 SumSqErr = 859.614

theta = -0.106679	 SumSqErr = 858.008

theta = -0.106579	 SumSqErr = 856.403

theta = -0.106479	 SumSqErr = 854.799

theta = -0.106379	 SumSqErr = 853.197

theta = -0.106279	 SumSqErr = 851.595

theta = -0.106179	 SumSqErr = 849.995

theta = -0.106079	 SumSqErr = 848.398

theta = -0.105979	 SumSqErr = 846.802

theta = -0.105879	 SumSqErr = 845.208

theta = -0.105779	 SumSqErr = 843.614

theta = -0.105679	 SumSqErr = 842.021

theta = -0.105579	 SumSqErr = 840.432

theta = -0.105479	 SumSqErr = 838.842

theta = -0.105379	 SumSqErr = 837.255

theta = -0.105279	 SumSqErr = 835.67

theta = -0.105179	 SumSqErr = 834.084

theta = -0.105079	 SumSqErr = 832.502

theta = -0.104979	 SumSqErr = 830.921

theta = -0.104879	 SumSqErr = 829.341

theta = -0.104779	 SumSqErr = 827.764

theta = -0.104679	 SumSqErr = 826.185

theta = -0.104579	 SumSqErr = 824.611

theta = -0.104479	 SumSqErr = 823.038

theta = -0.104379	 SumSqErr = 821.465

theta = -0.104279	 SumSqErr = 819.893

theta = -0.104179	 SumSqErr = 818.324

theta = -0.104079	 SumSqErr = 816.756

theta = -0.103979	 SumSqErr = 815.191

theta = -0.103879	 SumSqErr = 813.625

theta = -0.103779	 SumSqErr = 812.06

theta = -0.103679	 SumSqErr = 810.499

theta = -0.103579	 SumSqErr = 808.94

theta = -0.103479	 SumSqErr = 807.379

theta = -0.103379	 SumSqErr = 805.824

